Codibge7;acidente;homicidio;suicidio;indeterminado;veiculos;h_legal
1720002;0;1;1;0;0;0
4205555;0;0;0;0;0;0
5200159;0;0;0;0;0;0
4308433;0;0;3;0;1;0
5207105;0;0;0;1;1;0
2203859;0;0;0;0;0;0
4218954;0;0;0;0;0;0
4315149;1;0;0;0;1;0
4311429;0;0;0;0;0;0
4125902;3;0;0;0;1;0
5107768;0;0;0;0;1;0
3503158;0;0;0;0;0;0
2517100;0;1;1;0;1;0
2505303;0;4;0;0;0;0
3109808;0;1;0;0;0;0
4310876;0;1;0;0;0;0
4210852;1;0;0;0;0;0
4314456;0;1;0;0;1;0
3540309;0;0;0;0;1;0
1719004;0;1;1;0;0;0
2411429;1;0;0;0;0;0
4202537;0;0;0;0;0;0
4311791;0;0;0;0;1;0
4120200;0;1;0;0;1;0
3145505;0;0;0;0;0;0
3167509;0;0;0;0;2;0
3534500;0;0;0;0;0;0
4315057;1;0;0;0;0;0
3547403;0;0;0;0;1;0
4108106;0;0;1;0;0;0
4315958;1;0;0;0;0;0
4306551;0;0;0;0;0;0
3172202;0;1;0;0;0;0
3536901;1;0;0;0;1;0
2208551;0;0;0;0;0;0
5203939;0;0;0;0;1;0
2210375;1;0;0;0;0;0
1720978;0;0;0;0;3;0
1704105;2;0;0;0;0;0
3549201;0;0;0;0;0;0
4308052;0;0;0;0;0;0
1718709;0;0;0;0;2;0
5107156;0;0;0;0;1;0
3507753;1;1;0;0;0;0
4110656;0;1;0;0;0;0
4307864;0;0;1;1;0;0
4310652;0;0;1;1;0;0
2409605;0;1;0;0;0;0
3163607;0;0;0;0;0;0
4303558;0;0;0;0;3;0
4316428;0;1;0;0;1;0
2405900;0;2;0;0;0;0
4205431;0;0;0;0;1;0
2405504;0;0;0;0;0;0
2907400;0;0;0;0;0;0
2513653;1;0;0;0;0;0
2210979;1;0;0;0;2;0
1712454;0;0;0;0;3;0
4119251;0;0;0;0;0;0
2207108;0;0;0;0;0;0
3130804;0;0;0;0;0;0
2605459;0;0;0;0;0;0
3107000;1;0;0;0;1;0
5205703;0;0;0;0;0;0
3528858;0;0;0;0;0;0
3510906;0;0;0;0;1;0
4202156;0;0;0;0;0;0
4318432;0;0;0;0;0;0
4304697;0;0;0;0;0;0
2513851;0;0;0;0;0;0
3554607;0;0;0;0;0;0
4319737;0;0;0;0;0;0
4200051;0;0;0;0;1;0
4213153;0;0;0;0;1;0
2205540;0;0;1;1;2;0
3515301;0;0;0;0;0;0
3143609;0;0;0;0;1;0
4311239;0;0;0;0;0;0
5211602;0;1;0;0;2;0
2406403;0;0;0;1;0;0
3510104;0;1;0;0;0;0
4316477;0;0;0;0;0;0
4312385;0;0;0;0;0;0
3533809;0;0;1;1;0;0
3506201;0;1;0;0;0;0
4215752;0;1;0;0;0;0
5216007;0;0;1;0;1;0
5213053;1;0;0;0;0;0
4103404;0;0;0;0;0;0
2509370;1;0;0;0;0;0
3126406;1;0;0;0;2;0
3170305;0;0;0;0;1;0
3500600;0;0;0;0;0;0
3532157;0;1;0;0;0;0
3516507;0;0;0;0;0;0
3101300;0;0;0;0;0;0
4315321;0;0;1;0;0;0
3527900;0;0;0;0;1;0
4318457;0;0;0;0;0;0
4321469;0;0;1;0;7;0
3553658;0;0;0;0;1;0
5106455;0;0;0;0;0;0
4102703;0;0;1;0;0;0
4124202;0;0;1;0;0;0
3544400;0;0;1;0;0;0
4301073;0;0;0;0;0;0
3162302;0;0;1;0;0;0
4207577;1;0;0;0;0;0
5206800;0;0;0;0;0;0
4214300;0;0;0;0;5;0
3117207;0;0;0;0;0;0
4312427;0;0;1;0;0;0
4211652;0;0;0;0;0;0
4313011;0;0;0;0;1;0
2210953;0;0;1;0;0;0
4203253;0;1;0;0;7;0
4314555;0;0;1;0;0;0
4214151;0;0;2;0;0;0
4323705;0;1;0;0;0;0
4204194;0;0;0;0;0;0
4103024;0;0;0;0;0;0
4217758;0;1;1;0;0;0
4204152;0;0;0;0;0;0
1712009;1;1;0;0;0;0
5216908;0;1;0;0;0;0
4318440;0;1;1;0;0;0
3103801;0;0;0;0;0;0
4302253;0;0;1;0;2;0
3116209;1;0;0;1;0;0
3140209;0;0;0;0;0;0
3157278;0;1;0;0;1;0
4118303;0;0;0;0;0;0
3115904;0;0;0;0;0;0
3549003;0;0;1;0;0;0
4323770;0;0;1;0;3;0
1718006;0;1;0;0;1;0
3164431;0;0;1;0;0;0
3525854;0;1;0;1;0;0
4307831;0;0;0;0;0;0
3548302;0;0;0;0;2;0
3541802;0;0;0;0;1;0
4219150;0;0;0;0;2;0
2516755;0;0;0;0;0;0
4119657;1;0;1;0;0;0
4320321;1;0;0;0;0;0
5221304;1;0;0;0;0;0
3530003;1;0;0;0;2;0
3103603;0;0;0;0;0;0
2209757;0;0;0;0;0;0
5220702;1;0;0;0;0;0
4305975;0;0;0;0;4;0
4306072;0;0;1;0;0;0
5214879;0;1;0;0;1;0
4117297;0;0;0;0;0;0
3516101;1;0;0;0;1;0
3547106;0;0;0;0;3;0
4323507;0;0;1;0;1;0
4210704;0;2;0;0;0;0
2508406;0;0;0;0;0;0
3150109;0;0;0;0;1;0
5210158;0;0;0;0;1;0
3165560;0;0;0;0;0;0
4121356;0;0;1;0;0;0
4202875;0;0;0;0;0;0
2403756;0;0;0;0;1;0
2513968;0;0;0;0;1;0
4321634;0;0;0;0;0;0
3115003;0;0;0;1;0;0
3540853;0;0;0;0;0;0
4101150;0;0;0;0;2;0
3544509;0;0;0;0;1;0
2707008;1;1;0;0;0;0
3130002;0;0;0;1;0;0
4306353;0;0;0;0;0;0
4316436;0;0;0;0;0;0
2415008;0;0;0;0;0;0
4319372;0;0;0;0;2;0
2403905;0;0;0;0;0;0
4101051;0;0;0;0;1;0
2204154;1;1;0;0;2;0
5210307;1;0;0;0;3;0
4211256;0;0;0;0;0;0
